Geneset,TDP69Th_Vs_TDPsmTh.All_Pvalue,TDP69Th_Vs_TDPsmTh.Down_Pvalue,TDP69Th_Vs_TDPsmTh.Up_Pvalue,TDP69Th_Vs_TDPsmTh.All_Odds,TDP69Th_Vs_TDPsmTh.Down_Odds,TDP69Th_Vs_TDPsmTh.Up_Odds,T4int8ThVs_TDP69Th.All_Pvalue,T4int8ThVs_TDP69Th.Down_Pvalue,T4int8ThVs_TDP69Th.Up_Pvalue,T4int8ThVs_TDP69Th.All_Odds,T4int8ThVs_TDP69Th.Down_Odds,T4int8ThVs_TDP69Th.Up_Odds,T4SP69vsT4int8Th.All_Pvalue,T4SP69vsT4int8Th.Down_Pvalue,T4SP69vsT4int8Th.Up_Pvalue,T4SP69vsT4int8Th.All_Odds,T4SP69vsT4int8Th.Down_Odds,T4SP69vsT4int8Th.Up_Odds,T8SP69vsT4int8Th.All_Pvalue,T8SP69vsT4int8Th.Down_Pvalue,T8SP69vsT4int8Th.Up_Pvalue,T8SP69vsT4int8Th.All_Odds,T8SP69vsT4int8Th.Down_Odds,T8SP69vsT4int8Th.Up_Odds,T4int8Th_Vs_TDPsmTh.All_Pvalue,T4int8Th_Vs_TDPsmTh.Down_Pvalue,T4int8Th_Vs_TDPsmTh.Up_Pvalue,T4int8Th_Vs_TDPsmTh.All_Odds,T4int8Th_Vs_TDPsmTh.Down_Odds,T4int8Th_Vs_TDPsmTh.Up_Odds,T4SP69_Vs_TDPsmTh.All_Pvalue,T4SP69_Vs_TDPsmTh.Down_Pvalue,T4SP69_Vs_TDPsmTh.Up_Pvalue,T4SP69_Vs_TDPsmTh.All_Odds,T4SP69_Vs_TDPsmTh.Down_Odds,T4SP69_Vs_TDPsmTh.Up_Odds,T8SP69_Vs_TDPsmTh.All_Pvalue,T8SP69_Vs_TDPsmTh.Down_Pvalue,T8SP69_Vs_TDPsmTh.Up_Pvalue,T8SP69_Vs_TDPsmTh.All_Odds,T8SP69_Vs_TDPsmTh.Down_Odds,T8SP69_Vs_TDPsmTh.Up_Odds,T4SP69_Vs_TDP69Th.All_Pvalue,T4SP69_Vs_TDP69Th.Down_Pvalue,T4SP69_Vs_TDP69Th.Up_Pvalue,T4SP69_Vs_TDP69Th.All_Odds,T4SP69_Vs_TDP69Th.Down_Odds,T4SP69_Vs_TDP69Th.Up_Odds,T8SP69_Vs_TDP69Th.All_Pvalue,T8SP69_Vs_TDP69Th.Down_Pvalue,T8SP69_Vs_TDP69Th.Up_Pvalue,T8SP69_Vs_TDP69Th.All_Odds,T8SP69_Vs_TDP69Th.Down_Odds,T8SP69_Vs_TDP69Th.Up_Odds
mmu-let-7f-1-3p,0.0850800192034818,0.302101776021938,0.052872366885173,1.48350848869895,1.11348843100279,1.80231850143442,0.0884602552138466,0.279062758001476,0.0749878444811957,1.50045717071485,1.12838033826649,1.62505133984479,0.071179126959387,0.15489469725045,0.0903841073767412,1.64420886321394,1.46917283627873,1.6715104178236,0.487598345094758,0.421704338007735,0.328805868597249,0.756336162999771,0.690707439473792,0.847989193130281,0.0527182718847744,0.249237122993034,0.047006114162242,1.60026193121881,1.19734156664602,1.75632875326271,0.305466432619574,0.234337472087063,0.387997937498574,1.11076897638747,1.22537783952876,1.013602582759,0.445858831026513,0.182694779598797,0.66831600673363,0.98110413027209,1.31219089170412,0.723517682558941,0.936529939479347,0.426433118988937,0.935503101368375,0.320271501381499,0.683991152871583,0.216823591820047,0.550747380452571,0.0935535554283517,0.840730285977643,0.846185688626439,1.71348996818218,0.418769535707506
mmu-let-7f-2-3p,0.42130068689939,0.108537277476302,0.82224792245561,0.995567834514695,1.48833416535035,0.435871279025562,0.113121007093353,0.304544329956138,0.0922606688745816,1.42303927319258,1.08001811726285,1.54718836320875,0.647330797140176,0.171827518021301,0.847459135030992,0.710553595519125,1.40625188432652,0.290614611630409,0.0174213910145707,0.00063757722219511,1,2.39736610060982,4.53452035760879,1,0.833859614617215,0.458797202501529,0.850604857746132,0.628674753050826,0.893578606579596,0.481712439840701,0.627623130831118,0.641511927786541,0.434569682426228,0.831457766063797,0.670108766086356,0.966139016295282,0.640882700025579,0.524425644752599,0.547802816419802,0.829252555181334,0.851338974442114,0.849215610787995,0.239102387978902,0.447097303771244,0.15191852814221,1.20676061063133,0.655882967411383,1.4011994970697,0.435710276369061,0.106885598063593,0.702079737707655,0.965025583744918,1.63850885364828,0.615607112263665
mmu-let-7f-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.682425909449796,0.492546086631033,0.600759098591563,0.734997872586277,0.750372340316619,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.506825729306395,0.404852474950095,0.47303494126581,0.916692187254524,0.956367214082231,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.690407018907714,0.427443657885865,0.654171033137144,0.704474807792019,0.832975372448665,0.657892758677861
mmu-let-7g-3p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mmu-let-7g-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.682425909449796,0.492546086631033,0.600759098591563,0.734997872586277,0.750372340316619,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.506825729306395,0.404852474950095,0.47303494126581,0.916692187254524,0.956367214082231,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.690407018907714,0.427443657885865,0.654171033137144,0.704474807792019,0.832975372448665,0.657892758677861
mmu-let-7i-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.528365157129288,0.266451928462177,0.600759098591563,0.879821398815891,1.15419489115557,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.366553086004655,0.234127421320026,0.47303494126581,1.04696778894336,1.2260361889625,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.52717270341416,0.212810927613167,0.654171033137144,0.866979001578509,1.28157415423615,0.657892758677861
mmu-let-7k,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.528365157129288,0.266451928462177,0.600759098591563,0.879821398815891,1.15419489115557,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.366553086004655,0.234127421320026,0.47303494126581,1.04696778894336,1.2260361889625,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.52717270341416,0.212810927613167,0.654171033137144,0.866979001578509,1.28157415423615,0.657892758677861
mmu-miR-100-5p,0.697781958499588,0.510541813868392,0.642820309567531,0.757213584857016,0.864576634372671,0.668909311769093,0.745154064158595,0.304544329956138,0.81536044655966,0.684539904065475,1.08001811726285,0.514794184330843,0.171369642943063,0.372182587482227,0.105197675203145,1.33597103559481,0.914906883091083,1.59674350557158,0.515197710574167,0.186488021077565,1,0.724605686258533,1.35876769765385,1,0.32190145614855,0.280223101036258,0.364352297207518,1.09297579970393,1.14377535709513,1.03330118385554,0.0264820170807455,0.0642156437988619,0.0962209708288337,1.72275354384825,1.72106685254703,1.48876097759117,0.512534728180719,0.115622130156872,0.839843336909152,0.929125552384046,1.46548411421883,0.540258524452331,0.0669577967065366,0.0627443535062493,0.15191852814221,1.63157246136215,2.07110418995529,1.4011994970697,0.290141974415021,0.0122135578347385,0.860269518700583,1.1303933207682,2.58447395198184,0.401195859995395
mmu-miR-101a-3p.1,0.168888314610276,0.0461744568904877,0.626727213661349,1.29402126588247,1.76081510995691,0.683557626517748,0.100336960650088,0.291765831263319,0.0833551834632089,1.46072967716409,1.10367731813433,1.58516804084484,0.0355406514749739,0.163280903170171,0.0383776334076535,1.85208471601189,1.43702832836162,2.01014378860658,0.50149517713635,1,0.11731515929103,0.740133399421514,1,1.70568766466655,0.190335165160999,0.139041877320865,0.344458383424794,1.25806427080979,1.43906870373481,1.057507914363,0.334595412550768,0.128392075388525,0.572695608903284,1.08054644789108,1.4728137298389,0.827322470288053,0.155353870960636,0.0082713166388076,0.826602474989958,1.30115858863579,2.23669744975006,0.552354389774063,0.709073391674372,0.436816211214848,0.644891173685596,0.656411343066033,0.66964429303323,0.666808843012302,0.0861239841642466,0.0358782667371778,0.308811544842495,1.52541688552961,2.14781382408503,1.09970751647905
mmu-miR-101a-3p.2,0.775326397419547,0.469425412083024,0.800170731885123,0.678373631463252,0.905087076521836,0.454962694806105,0.0445926063799248,0.0492792692002497,0.151347962697569,1.68402985700405,1.97858474182961,1.38526312548439,0.78223396145077,0.624913791307873,0.615247390026945,0.54414863294284,0.465764872175237,0.62071335011839,0.743234572205407,0.421704338007735,1,0.369124825223893,0.690707439473792,1,0.675928568625571,0.62589007787364,0.494225631791617,0.773297477283668,0.684132924121024,0.880170669069716,0.894859290380437,0.40491332329582,0.930312537745396,0.566714119462917,0.956338437075508,0.394005255052899,0.704212765750383,0.0948318035754082,0.970513707286224,0.773429597415912,1.53923813388369,0.269587120238492,0.936529939479347,0.426433118988937,0.935503101368375,0.320271501381499,0.683991152871583,0.216823591820047,0.389092452189177,0.0328277158070034,0.840730285977643,1.01243462554089,2.19801959565462,0.418769535707506
mmu-miR-101a-5p,0.0235469649486616,0.0227506540683542,0.185200368298865,2.11516757135627,2.34629380276623,1.37183265198707,0.00623066960184013,1,0.000249555030268274,2.6760978117618,1,4.32224656728576,0.145525964782127,0.101664973372211,0.239157628635508,1.49122969460201,1.83603463668142,1.19362595483808,0.0495730805536184,0.00686444580807949,1,2.28239430010741,4.28812400638371,1,0.000174850732231895,0.0745129615289928,0.000404893029429021,3.8975396052049,1.87507611699745,4.04308959510938,0.00800326545095827,0.0693164762875387,0.0256462253866717,2.45130196096082,1.91906908899006,2.1949407718683,0.0437890095120124,0.0709356796419432,0.139658323311169,1.84427600700474,1.83116704558343,1.48670971220113,0.189988281322969,1,0.0753316449119276,1.34751380282261,1,1.86850531160447,0.0257845666788586,0.141934269296181,0.0299382444068984,2.1924137642825,1.56657080205658,2.31216260411837
mmu-miR-101b-3p.1,0.647605858797687,0.302101776021938,0.800170731885123,0.795351720157797,1.11348843100279,0.454962694806105,0.0205534269976878,0.0492792692002497,0.0749878444811957,1.87833606905526,1.97858474182961,1.62505133984479,0.78223396145077,0.624913791307873,0.615247390026945,0.54414863294284,0.465764872175237,0.62071335011839,0.487598345094758,0.171518792818737,1,0.756336162999771,1.41824332159276,1,0.675928568625571,0.62589007787364,0.494225631791617,0.773297477283668,0.684132924121024,0.880170669069716,0.811188660903377,0.234337472087063,0.930312537745396,0.664375877957146,1.22537783952876,0.394005255052899,0.578073051905013,0.0441041975540446,0.970513707286224,0.874401996335152,1.77848529589693,0.269587120238492,0.839459525958823,0.426433118988937,0.812786316570173,0.491734819936359,0.683991152871583,0.443833962111221,0.389092452189177,0.0328277158070034,0.840730285977643,1.01243462554089,2.19801959565462,0.418769535707506
